Customer,Primary Phone,EMail Address,Full Name,Street,City,State,Zip Code,2nd Phone,2nd Email,3rd Email
A & A Plants,336-656-7881,suzanneponting@gmail.com,,5392 NC 150,Browns Summit,NC,27214,336-669-0031,,
A & B Lawn service LLC,336-382-6067,,German,3060 Edge Wood Dr.,Greensboro,NC,27406,,,
A & E Landscaping,336-210-6524,aelandscaping1@gmail.com,Andrea,2918 Pleasant Garden Rd.,Greensboro,NC,27407,,,
A Cut Above,336-816-9393,acutabovelandscape@triad.rr.com,,4441 Carlton Circle,Winston Salem,NC,27105,,,
"A Cut Above, Inc.",336-382-6845,acutaboveinc@live.com,,674 Carlton Rd.,Stokesdale,NC,27357,,,
A Greener World,336-870-0135,greenerworld@northstate.net,Randy Miller,114 Bridlewood Ave.,High Point,NC,27265,,,
AB Seed,336-669-8780,markpabee@gmail.com,,2914 Sandy Ridge Rd.,Colfax,NC,27235,, ansabseed@hotmail.com,
Accu Cut,336-380-2263,jasonc0203@hotmail.com,Jason Coble,1003 Edith St.,Burlington,NC,27215,,,
Aesthetic Turf,336-309-6614,andrew@atandag.com,,1807 Peoples Creek Rd.,Advance,NC,27006,,,
All Seasons Landscape,336-880-7756,allseasonsnc@aol.com,Brian Boozer,PO Box 6642,High Point,NC,27262,,,
"Allied Landscape Services, LLC",336-558-7393,jamie@alliedlandscapesservices.com,Jamie Allred,7795 Springdale Meadow Dr.,Stokesdale,NC,27357,,,
"Alvarez Landscape and Maintenance, LLC.",336-423-9590,jsralvarez@gmail.com,,381 Friddle Rd.,Stokesdale,NC,27357,,,
"Ansco & Associates, LLC",336-333-2250,dianne.murphy@anscollc.com,,406 Pine St.,Greensboro,NC,27401,,,
Anthony's Lawn Service,336-705-0950,tony60709@yahoo.com,Anthony Fulk,6425 Bowman Rd.,Walnut Cove,NC,27052,,,
Artistic Lawnscapes,336-209-0034,kentlovern@gmail.com,Kent Lovern,8249 Fairgrove Church Rd.,Browns Summit,NC,27214,,,
As You Like It Landscapes,336-699-5020,as.youlikeit@live.com,,4121 Apperson Rd.,East Bend,NC,27018,336-403-4224,,
"Atlantic Installations, Inc.",410-978-3010,mapribble@aol.com,,"6015 Catalina Dr., Unit 622 ",N. Myrtle Beach,SC,29582,,,
Barber Shop Landscaping,336-870-0337,mbarber@wesed.org,Matt Barber,,,,,336-870-0337,,
Basic Lawn Care,336-382-1096,santos@basiclawncare.net,,2229 Blue Stone Ln.,Winston Salem,NC,27107,,,
Beaver Outdoor Solutions,336-763-9014,beaveroutdoorsolutions@gmail.com,,3809 Rappahannock Ct.,Greensboro,NC,27407-7339,,,
Before and After Landscaping,336-408-7192,ader02007@yahoo.com,,131 Quail Hollow Rd.,Advance,NC,27006,,,
Benitez Landscape,336-668-8076,,,370 Friddle Rd.,Stokesdale,NC,27357,,,
Blue Lawn Care,336-543-3333,,Casey Terhune,,,,,336-686-3003,,
Bluegrass Landscapes,336-229-1001,,Jeff Winkle,420 Shoffner St.,Graham,NC,,,,
Botanical Lawn,336-686-5399,botanicallawn@triad.rr.com,Dale Gregory,9501 County Line Rd.,Kernersville,NC,27284,,,
Bradford Landscape,704-500-9227,bradfordlandscapingllc@gmail.com,,1125 Dogwood Rd.,Statesville,NC,28677,,,
Brads Lawn Service,336-509-8400,bradslawnservice@me.com,,,,,,,,
Brightview Landscaping,336-543-5726,sscinvoices@brightview.com,,1021 Tarrant Rd.,Greensboro,NC,27409,336-854-7747,shamaine.anderson@brightview.com,
Bryan Park,336-451-7399,wcrompton@bryanpark.com,,6275 Bryan Park Rd.,Browns Summit,NC,27214,,,
Buckhorn Garden Center,919-932-0194,buckhorngarden@centurylink.net,,6405 West Ten Rd.,Mebane,NC,27302,,,
Budd Group:Budd Group - Greensboro,336-345-8983,memerick@buddgroup.com,,P.O. Box 25128,Winston-Salem,NC,27114,,,
Budd Group:Budd Group - Winston,336-272-1324,bmacdougal@buddgroup.com,Ken Williams,P.O. Box 25128,Winston-Salem,NC,27114,, kwilliams@buddgroup.com, Lsmith@buddgroup.com
Buena Vista Lawn Care,336-423-4310,,Jose,309 Burke St.,Kernersville,NC,27284,,,
Byrd Lawn and Landscapes,336-804-9972,byrdlawnandlandscape@gmail.com,Andrew Byrd,,,,,,,
C & M Landscaping,336-516-3333,raycox811@gmail.com,,1420 Jeffries Crossroad,Burlington,NC,27217,, cmlandscaping@outlook.com,
Canady's Landscaping & Grading,336-236-1182,canadyslandscaping@gmail.com,,256 Fariview Acres Rd.,Lexington,NC,27295,336-918-6269,,
Carden Landscaping & Hauling,336-403-1086,stevecarden01@hotmail.com,Steve Carden,4274 Wyndham Ln.,Winston-Salem,NC,27107,,,
Cardinal Landscape,336-288-0048,shodge6@triad.rr.com,Steve Hodge,2602 Westmoreland Dr.,Greensboro,NC,27408,336-666-5401,,
